"Id";"Name";"Type";"Chiralium";"Attack";"Defense";"Delivery";"Description";"Effect";"Behavior";"Strength"
"generic-132";"Outpost of the Silent Valley";"Structure";"5";"0";"8";"3";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-138";"Station of the Silent Valley";"Structure";"5";"0";"8";"3";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-144";"Tower of the Silent Valley";"Structure";"5";"0";"8";"3";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-150";"Shelter of the Broken Ridge";"Structure";"5";"0";"8";"3";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-127";"Beacons Alight";"Event";"5";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty -3 until the next turn (range: 2–6).";"5";"3"
"generic-128";"Signal Lost at Night";"Event";"5";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +3 until the next turn (range: 2–6).";"4";"3"
"generic-129";"Airborne Sand";"Event";"5";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +3 until the next turn (range: 2–6).";"4";"3"
"generic-130";"Mountain Rift";"Event";"5";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +3 until the next turn (range: 2–6).";"4";"3"
"generic-131";"Regional Reconnection";"Event";"5";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty -3 until the next turn (range: 2–6).";"5";"3"
"generic-136";"Echo of the Broken Ridge";"Entity";"5";"5";"7";"3";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-142";"Shadow of the Broken Ridge";"Entity";"5";"5";"7";"3";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-148";"Shade of the Broken Ridge";"Entity";"5";"5";"7";"3";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-154";"Memory of the Broken Ridge";"Entity";"5";"5";"7";"3";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-157";"Guardian of the Last Station";"Porter";"6";"6";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-158";"Surveyor of the Last Station";"Porter";"6";"7";"8";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-159";"Driver of the Last Station";"Porter";"6";"5";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-161";"Veteran of the Last Station";"Porter";"6";"7";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-163";"Courier of the Distant Shore";"Porter";"6";"6";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-164";"Scout of the Distant Shore";"Porter";"6";"7";"8";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-165";"Guide of the Distant Shore";"Porter";"6";"5";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-167";"Lookout of the Distant Shore";"Porter";"6";"7";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-169";"Explorer of the Distant Shore";"Porter";"6";"6";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-170";"Tracker of the Distant Shore";"Porter";"6";"7";"8";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-171";"Hauler of the Distant Shore";"Porter";"6";"5";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-173";"Pioneer of the Distant Shore";"Porter";"6";"7";"7";"3";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-156";"Bridge of the Broken Ridge";"Structure";"6";"0";"9";"3";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-162";"Terminal of the Broken Ridge";"Structure";"6";"0";"9";"3";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-168";"Beacon of the Broken Ridge";"Structure";"6";"0";"9";"3";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-174";"Depot of the Broken Ridge";"Structure";"6";"0";"9";"3";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-160";"Specter of the Broken Ridge";"Entity";"6";"6";"8";"3";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-166";"Presence of the Broken Ridge";"Entity";"6";"6";"8";"3";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-172";"Vestige of the Broken Ridge";"Entity";"6";"6";"8";"3";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 3 point(s).";"0";"0"
"generic-176";"Wanderer of the Distant Shore";"Porter";"7";"8";"9";"4";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-177";"Rescuer of the Distant Shore";"Porter";"7";"6";"8";"4";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-178";"Navigator of the Distant Shore";"Porter";"7";"7";"9";"4";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-180";"Guardian of the Distant Shore";"Porter";"7";"6";"9";"4";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-182";"Surveyor of the Distant Shore";"Porter";"7";"8";"9";"4";"One more step toward connecting people beyond the horizon.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-181";"Outpost of the Broken Ridge";"Structure";"7";"0";"10";"4";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-175";"Route Collapse";"Event";"7";"0";"0";"0";"Travel conditions change for every courier.";"Global difficulty +3 until the next turn (range: 2–6).";"4";"3"
"generic-179";"Echo of the Gray Horizon";"Entity";"7";"8";"8";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-183";"Shadow of the Gray Horizon";"Entity";"7";"6";"8";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-184";"Shade of the Gray Horizon";"Entity";"7";"7";"9";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-185";"Memory of the Gray Horizon";"Entity";"7";"8";"8";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-187";"Station of the Broken Ridge";"Structure";"8";"0";"11";"4";"A connection still stands among the ruins.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-186";"Specter of the Gray Horizon";"Entity";"8";"7";"10";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-188";"Presence of the Gray Horizon";"Entity";"8";"9";"10";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-189";"Vestige of the Gray Horizon";"Entity";"8";"7";"9";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-190";"Echo of the Last Station";"Entity";"8";"8";"10";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-191";"Shadow of the Last Station";"Entity";"8";"9";"9";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-192";"Shade of the Last Station";"Entity";"8";"7";"10";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-193";"Memory of the Last Station";"Entity";"8";"8";"9";"4";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 4 point(s).";"0";"0"
"generic-194";"Specter of the Last Station";"Entity";"9";"10";"11";"5";"Not every delivery begins on the same side of the Beach.";"From your next turn, tap: 1d6 + equipment ≥ route grants 5 point(s).";"0";"0"
